title,url,image url,description,verdict,pros,cons,price
Xiaomi Poco X3 NFC ,https://www.techadvisor.com/review/xiaomi-poco-x3-nfc-3795910/,,"The Xiaomi Poco X3 might just be the best budget phone of 2020, with a 120Hz display, great camera, and massive battery","The Poco X3 packs in strong specs, an excellent camera, a beautiful display, and absolutely fantastic battery life. Getting all of that for just £199 makes the Poco X3 a shoo-in for the best budget phone of 2020.","Pros,120Hz display,2-day battery life,Excellent camera,Powerful performance","Cons,Thick & heavy,MIUI can be clunky,Unreliable fingerprint scanner",From £199 (around $250)
Google Pixel 4a ,https://www.techadvisor.com/review/google-pixel-4a-3793641/,https://www.techadvisor.com/cmsdata/reviews/3793641/google_pixel_4a_3_thumb800.jpg,"Google's long-awaited Pixel 4a is a great mid-range smartphone, but will appeal to a more niche crowd due to the lack of 5G support and its 60Hz display","The Pixel 4a might not tick all the techy boxes, but certainly has a unique charm that will appeal to many buyers.","Pros,Compact design, Great cameras, 3 years of Android updates","Cons,No 5G, Screen limited to 60Hz",$349
Honor MagicBook Pro ,https://www.techadvisor.com/review/honor-magicbook-pro-3794903/,,"The Honor MagicBook Pro delivers a big screen on a budget, but can it deliver pro performance without a discrete GPU?","The MagicBook Pro is one of the cheapest 16in laptops around, with phenomenal CPU performance and a lightweight build to boot. It's a brilliant, laptop, but be warned: with no discrete GPU, no Thunderbolt, and limited display specs, this isn't quite creator-class.","Pros,Ryzen 5 4600H processor,Slim, light design,Big screen on a budget","Cons,No discrete GPU,No Thunderbolt,Average display specs",€899 (about $1050)
iPad 10.2in (2020) ,https://www.techadvisor.com/review/ipad-10-2in-2020-3796019/,https://www.techadvisor.com/cmsdata/reviews/3796019/apple_ipad_10_2_inch_2020_33_thumb800.jpg,"The entry-level iPad has always been a tempting option for budget-savvy consumers, and that's truer than ever with the 8th-gen iPad and its upgraded A12 Bionic chipset.","It may not have the updated design of the iPad Air or Pro, but there's a lot to like about Apple's entry-level iPad, especially with noticeable performance gains compared to last year's option.","Pros,Cheap, Large, bright display, Compatibility with Apple accessories","Cons,32GB of storage, Downward-firing speakers, 1.2Mp front-facing camera",$329
Dell XPS 15 9500 (2020) ,https://www.techadvisor.com/review/dell-xps-15-9500-2020-3796015/,https://www.techadvisor.com/cmsdata/reviews/3796015/dell_xps_15__2020__review_thumb800.jpg,If you're looking for a Windows alternative to the MacBook Pro then the XPS 15 is a great choice. And you don't need to spend £3k to get impressive specs,"It might not be quite perfect, but the Dell XPS 15 for 2020 is stunning in many ways and easily one of the best full-size laptops you can buy.","Pros,Power for work and play, Excellent screen, All-day battery life, Terrific speakers","Cons,Keyboard is a little shallow, Poor HDR, Basic 720p webcam","From $1,199 | Model reviewed $2,099"
Amazfit GTS 2 Mini ,https://www.techadvisor.com/review/amazfit-gts-2-mini-3801447/,https://www.techadvisor.com/cmsdata/reviews/3801447/amazfit-gts-2-mini-review-main2_thumb800.png,"Amazfit adds another reasonably priced smartwatch to its catalogue, but does the GTS 2 Mini bring enough to warrant your money?","While the attractive design suggests smartwatch, the Amazfit GTS 2 Mini is more of an activity tracker with bonus features. That’s no bad thing at all, and at this price it’s a very tempting device. If you’re happy to stick with basic notifications and music controls, then the health-related functions on the Mini could genuinely improve your life and look good doing it.","Pros,Slim design, Inexpensive, Good range of features","Cons,No auto-tracking for fitness, Can't reply to messages",$99
Urbanista London ,https://www.techadvisor.com/review/urbanista-london-3801527/,https://www.techadvisor.com/cmsdata/reviews/3801527/urbanista_london_review_thumb800.jpg,"With active noise cancellation, great sound quality and a decent fit, the Londons are Urbanista's most accomplished buds yet",,"Pros,Solid sound quality, Impressive fit, Active noise cancellation","Cons,Fiddly touch controls, Frustrating pairing process, No companion app",$149
CHJGD Midas power bank ,https://www.techadvisor.com/review/chjgd-midas-power-bank-review-3643216/,https://www.techadvisor.com/cmsdata/reviews/3643216/chjgd_midas_power_bank_review_thumb800.jpg,"It’s much more about style than functionality, but the CHJGD Midas is an affordable and pretty decent 8,000mAh power bank. Find out more in our CHJGD Midas review.","The CHJGD Midas is a premium-looking power bank that comes at a good price, yet doesn’t skimp on performance.",,,
Flexispot EG8 Standing Desk ,https://www.techadvisor.com/review/flexispot-eg8-standing-desk-3801532/,https://www.techadvisor.com/cmsdata/reviews/3801532/flexispot-eg8-standing-desk_thumb800.jpg,"Smart in looks and features, the Flexispot EG8 is an impressive standing desk","The Flexispot EG8 Standing Desk is a simple-to-construct standing desk with tempered glass desktop, USB ports and a handy storage drawer.","Pros,Smart, Simple construction, 4 height presets, USB power ports","Cons,Glass top can attract fingerprints",$499.99
Carrera impel is-1 electric scooter ,https://www.techadvisor.com/review/carrera-impel-is-1-electric-scooter-3801482/,https://www.techadvisor.com/cmsdata/reviews/3801482/carrera_impel_is-1_electric_scooter_review_1_thumb800.jpeg,"With a built-in cable lock and immobiliser, the Carrera impel is-1 is one of the most security-focused scooters on the market right now, and it's affordable too.","The Carerra impel is-1 is a nippy electric scooter with unique security-focused features including an immobiliser and built-in cable lock to deter potential thieves, and at £399, it's cheaper than much of the competition. ","Pros,Built-in immobiliser & cable lock, Powerful motor, Competitive price","Cons,Heavy, Shortish range",£399 (around $542)
Leapfrog LeapStart ,https://www.techadvisor.com/review/leapfrog-leapstart-review-3644345/,https://www.techadvisor.com/cmsdata/reviews/3644345/leapfrog-leapstart-preschool_thumb800.jpg,The Leapfrog LeapStart is an interactive learning system that teaches kids as young as four and old as seven the core educational skills they need at preschool and primary school.,"The Leapfrog LeapStart is a kid-tough interactive learning system, with one model for children aged 2-4 and another for 5-7 year olds. We found it easy to set up and immediately appealing to kids with its fun audio. While the initial price is low if your keep buying the books the cost will add up, but presumably at the same time as your child learning basic educational core skills through fun activities to get him or her ready for school.",,,$39.99
Jam Double Down Bluetooth speaker ,https://www.techadvisor.com/review/jam-double-down-bluetooth-speaker-review-3644459/,https://www.techadvisor.com/cmsdata/reviews/3644459/jam-double-down-speaker_thumb800.jpg,"One of the more recent additions to the Jam Audio family is the Jam Double Down Bluetooth speaker, which provides users with a portable Bluetooth speaker on a budget. But how does the Double Down fare against similarly priced Bluetooth speakers? Here’s what we think.","Jam’s Double Down Bluetooth speaker is a decent option for those looking for a cheap Bluetooth speaker with decent levels of bass. The ability to pair up with another Double Down for stereo output is another selling point of the speaker, especially as retailers like Currys offer a buy-one-get-one-free deal on the speaker in the UK. It’s lightweight and compact, and the water-resistance should protect the speaker from splashes of water, although not much else.",,,$35.99
Flux Card power bank ,https://www.techadvisor.com/review/flux-card-power-bank-review-v2-3637165/,https://www.techadvisor.com/cmsdata/reviews/3637165/flux_charger_new_thumb800.png,"Power banks are extremely useful but they can be cumbersome, especially when you also have to carry assorted cables to transfer that power from the bank to your phone. Flux Card is the opposite of those power banks, slim, portable and with no extra cables required - for iPhone or Android.","A fantastic upgrade over the original Flux Charger, the new 4,000mAh Flux takes onboard all our criticisms and comes back fighting. An excellent, truly portable power bank that will get any smartphone user out of a jam.",,,$29.95
Note 5 vs Note 7: What’s new in Samsung Galaxy Note 7?,https://www.techadvisor.com/review/note-5-vs-note-7-whats-new-in-samsung-galaxy-note-7-3644491/,,"Samsung on Tuesday unveiled its new Note 7 phablet, which will be a fantastic upgrade over the Note 5. We look at some of the key differences between Galaxy Note 5 and Galaxy Note 7 in our Note 5 vs Note 7 comparison.","The Note 7 at first glance appears to be an expensive upgrade, but this may not bother you if you’re getting it on a contract - which will be possible, unlike with the Note 5. If you’re prepared to pay the money it’s a fantastic upgrade, with phenomenal performance, a fantastic dual-edge screen, a user-friendly stylus, a brand-new iris scanner and upgraded cameras.",,,
Fossil Q Grant ,https://www.techadvisor.com/review/fossil-q-grant-review-3644432/,https://www.techadvisor.com/cmsdata/reviews/3644432/fossil_q_grant_03_thumb800.jpg,A smartwatch with a screen isn't the best solution for everyone. The Fossil Q Grant puts smart features like notifications and activity tracking inside an analogue watch.,The Fossil Q Grant is easily the best looking and well made 'semi-smartwatch' we've reviewed. It's both stunning and affordable although the plastic back which shows is a shame. Smart features including customised notifications and activity tracking work well but are fairly basic and limited. Our main issue is the connectivity issues with Android.,,,$175
Qualcomm VR : Hands-on,https://www.techadvisor.com/review/qualcomm-vr-review-hands-on-with-qualcomms-virtual-reality-headset-3645939/,https://www.techadvisor.com/cmsdata/reviews/3645939/qualcomm_vr_main_thumb800.jpg,"First introduced at IFA 2016 in Berlin, Qualcomm VR offers something slightly different. Wny? The headset features all the tech it needs to run within the headset, negating the need for a phone or PC. It’s not the only impressive feature of Qualcomm VR either, as we learnt when we went hands-on with the VR headset on the show floor - read our Qualcomm VR review.","While it’s far too early to give Qualcomm VR a full verdict as it’s still a prototype, based on our experience with the headset during IFA 2016, we’re extremely excited about what Qualcomm has to offer. The fact that you don’t need a smartphone or PC to run the VR applications is amazing, and in our opinion is what the VR industry needs right now - yes, it’s great if you have a high-end PC capable of powering a HTC Vive or Oculus Rift, but what about everyone else? The standalone tracking technology featured is incredibly impressive too, and is unlike anything else we’ve experienced thus far. Watch this space, Qualcomm is here to disrupt the VR market.",,,-
Nvidia GeForce GTX 1060 Founders Edition ,https://www.techadvisor.com/review/nvidia-geforce-gtx-1060-founders-edition-review-3644489/,https://www.techadvisor.com/cmsdata/reviews/3644489/nvidia-geforce-gtx-1060-founders-edition-review_thumb800.jpg,It may not be as cheap as we'd expected but the GTX 1060 is by far the cheapest of Nvidia's 2016 range of graphics cards. But is it the best value? Here's our GTX 1060 Founders Edition review.,"The Nvidia GeForce GTX 1060 Founders Edition brings a new level of performance to mid-range gaming, with high frame rates at 2560x1440 resolution, strong VR peformance and low power consumption, but the Founders Edition is, as ever, not the best version of the card",,,US$299
Guess Connect smartwatch ,https://www.techadvisor.com/review/guess-connect-smartwatch-review-3645104/,https://www.techadvisor.com/cmsdata/reviews/3645104/guess_connect_smartwatch_review_800home_thumb800.jpg,"The Guess Connect's chunky, brutalist looks aren't for everyone, but it compensates with an excellent range of 'semi-smart' features, from voice commands to remote camera controls. We just wish it included activity tracking","Looks-wise we're not at all keen on the huge, chunky and ostentatious Guess Connect: the Fossil Q Grant has a far subtler and more elegant design, and is less likely to bruise your child's face when you're having a cuddle.",,,"$379 (41mm), $399 (45mm)"
Motorola Moto 360 Sport ,https://www.techadvisor.com/review/motorola-moto-360-sport-review-3644485/,https://www.techadvisor.com/cmsdata/reviews/3644485/motorola_moto_360_sport_02_thumb800.jpg,"You want the best smartwatch for fitness and the Moto 360 Sport might just be it with it's practical design, GPS and heart rate monitor. Here's our Motorola Moto 360 Sport review.","Available for under £200, the Motorola Moto 360 Sport is one of the best smartwatches for fitness. You get the some of the regular 360 style in a design which is practical for activities like running. The GPS tracking is accurate but it's shame the same can't be said of the heart rate monitor and we still find the 'flat tyre' on the screen an eyesore. A solid effort but hard-core fitness fans might need something which is more in-depth.",,,
"Zendure A8 QC power bank : Feature-loaded, sky-high in capacity",https://www.techadvisor.com/review/zendure-a8-qc-power-bank-review-feature-loaded-sky-high-in-capacity-3627322/,https://www.techadvisor.com/cmsdata/reviews/3627322/zendure_a8_qc_thumb800.jpg,"We're big fans of Zendure's power banks, ultra-tough, ultra-compact, stylish and loaded with features. The A8 QC sits at the top of Zendure's line-up, a monster power bank for those with heavy-duty portable power needs or extended trips away from mains power. We review the Zendure A8 QC.","Incredibly well designed with excellent features including passthrough charging and an LCD panel, a tough build and huge amounts of power, that £69.41 asking price doesn't look so high after all. The only thing we can fault Zendure on is the fact its three Zen+ ports can't simultaneously run at full speed. However, the new Quick Charge 3.0 input and output, plus increased capacity are very welcome additions, making this an excellent buy if your power needs are great.",,,$89.95
DJI Osmo Mobile ,https://www.techadvisor.com/review/dji-osmo-mobile-review-3647694/,https://www.techadvisor.com/cmsdata/reviews/3647694/osmo-mobile-review_thumb800.jpg,"The latest Osmo does away with a camera and allows you to use your phone’s camera to take stabilised videos, and it’s a lot cheaper, too. Here's our DJI Osmo Mobile review","The Osmo Mobile is perfect if you use your phone to make home videos and want to make them look more professional, or for vloggers that want to do the same. It performs well and isn't ridiculously expensive, although if you already have a phone with good optical stabilisation you may not see a massive improvement in some shots. Of course, it's important to remember that video quality is only as good as your phone's camera.",,,$299
Android 7 Nougat ,https://www.techadvisor.com/review/android-7-nougat-review-3643773/,,The latest version of Android is 7 Nougat but should you download it and upgrade? Find out about the best new features in our full review.,Although many of the new features in Android 7 Nougat have been around on other user interfaces for a while it's great to see them finally built into stock Android. There's nothing that will majorly change your usage here but all are welcome and beneficial. We can see no reason not to upgrade once Nougat is available for your device.,,,
Targus Dock410 ,https://www.techadvisor.com/review/targus-dock410-review-3651903/,https://www.techadvisor.com/cmsdata/reviews/3651903/targus-dock410-docking-station_review_thumb800.jpg,"The newest laptops have fewer ports than ever, but there's a new generation of universal USB-C docking stations which gives you back your Ethernet, USB ports and video outputs, and also charge your laptop over a single USB-C cable. Here's our Targus Dock410 review.","The Dock410 is a compact docking station which will add all the ports and connections that are missing from many of today’s laptops. It’s exclusively for laptops with USB-C ports, and will charge them as well as providing video, audio and data over a single USB-C cable. It’s best to stick to a single external monitor, though, as you may run into issues driving two (and macOS is limited to a single external display anyway).",,,$219.99
EE Robin (late 2016) ,https://www.techadvisor.com/review/ee-robin-late-2016-review-3652794/,https://www.techadvisor.com/cmsdata/reviews/3652794/ee_robin_review_00_thumb800.jpg,EE’s Robin is a kids’ tablet with built-in 4G so they can watch videos and use internet-connected apps wherever they are – without borrowing your phone. Here’s our EE Robin review,"With a poor-quality screen, dismal cameras and woefully underpowered processor, this is a deeply unimpressive tablet which is barely worth the £29.99 up-front cost. What you’re really paying for here is the data contract, and if you’re specifically after a kid-friendly tablet with 4G, this is one of few options available. If you can live with just a Wi-Fi connection, Amazon’s £49.99 Fire is a better tablet - but it can't run Pokemon GO.",,,
Lenovo Miix 720 hands-on ,https://www.techadvisor.com/review/lenovo-miix-720-hands-on-review-3652627/,https://www.techadvisor.com/cmsdata/reviews/3652627/lenovo_miix_720_review_thumb800.jpg,If you're looking for a Surface Pro 4 rival then look no further than Lenovo's new Miix 720 which is packed full of new tech. Here's our hands-on review from CES 2017.,There’s no doubt that the Lenovo Miix 720 is an impressive Surface Pro 4 rival. It might be a bit more expensive but includes the keyboard and has the latest specs including faster DDR4 memory and Intel’s new 7th-gen Kaby Lake processor. We’d like to know what the base price gets you and there’s also the complication of the upcoming Surface Pro 5. ,,,From $999
Casio WSD-F20 smartwatch ,https://www.techadvisor.com/review/casio-wsd-f20-review-3652553/,https://www.techadvisor.com/cmsdata/reviews/3652553/casio_wsd-f20_thumb800.jpg,"Announced at CES 2017, The Casio WSD-F20 is a fully featured smartwatch, and the first in the world to run Android Wear 2.0. We went hands on at CES to bring you our first impressions on this ambitious smartwatch.","Android Wear 2.0 is present, meaning the watch is very responsive and takes advantage of the new OS to bring its advanced features to the fore. At $500 it’s pretty expensive, but then again for what it offers it’s a better choice for the outdoors when compared to the Apple Watch or Samsung’s Gear S3.
",,,$500
ViFLY R220 ,https://www.techadvisor.com/review/vifly-r220-review-3652594/,https://www.techadvisor.com/cmsdata/reviews/3652594/vifly-r220-review-main_thumb800.jpg,This drone isn't for aerial photography or video: it's for racing. And it comes ready to fly out of the box. Here's our ViFLY R220 review,"The ViFLY R220 is not only an excellent first product from ViFLY, it’s also a fantastic choice for beginners that want to get into FPV racing without the time and expense of having to research and build their own. It’s really well designed and remarkably tough, and the standard kit includes everything you need to get flying straight away (minus the FPV goggles). At this price, it’s excellent value for money and easy to recommend.",,,$299
Acer Chromebook 14 ,https://www.techadvisor.com/review/acer-chromebook-14-review-3648223/,https://www.techadvisor.com/cmsdata/reviews/3648223/acer-chromebook-14-review-2_thumb800.png,"Acer has a good track record with Chromebooks, so the arrival of a new, large screen model is an intriguing prospect. We take the Acer Chromebook 14 for a test drive to see how it shapes up. Acer Chromebook 14 review.","There's a lot to like about the Acer, including it's smart design, larger screen size, and impressively long battery life. These are offset by a few less than desirable components. The display is adequate at best, the keyboard is also average, and performance feels hampered by the low memory allocation. It's a solid machine, but the compromises may be too much for some.",,,$299.99
Nvidia Shield TV and GeForce Now ,https://www.techadvisor.com/review/nvidia-shield-tv-geforce-now-review-media-streamer-2017-3628313/,https://www.techadvisor.com/cmsdata/reviews/3628313/nvidia_sheild_review_07_thumb800.jpg,"The Nvidia Shield TV a media streamer focused around gaming, enabling you to stream games via GeForce Now for instant gaming with no download needed - don't worry, you're still able to catch up with the latest video content on Netflix and BBC iPlayer. But is this enough for Nvidia to succeed in a market with so many big brand competitors?","We’re extremely impressed by the Nvidia Shield both as a media streamer and as a games console. The beautiful UI and game-streaming technology is powered by one of the most impressive mobile processors on the market at the moment, and provides an experience akin to playing a PS4 or Xbox One. The native 4K resolution that supports 60fps playback is better than any other offering in the UK at the moment, with the Fire TV only being able to support ",,,$199.99
MacBook Pro with Touch Bar ,https://www.techadvisor.com/review/macbook-pro-with-touch-bar-review-3652777/,https://www.techadvisor.com/cmsdata/reviews/3652777/mbp_2016_lifestyle15_thumb800.jpg,"Our review of the MacBook Pro 2016 weighs up Apple's laptop in terms of design, build quality, features and tech specs - and focuses in particular on the Touch Bar feature and its many possibilities","We're rather in love with the MacBook Pro, but as with many love affairs there are irritations.",,,From $1499
Samsung Galaxy S7 edge ,https://www.techadvisor.com/review/samsung-galaxy-s7-edge-3635243/,,The Galaxy S7 and S7 edge have launched but are they the best phones of 2016? Here's our full and in-depth Samsung Galaxy S7 edge review.,,,,$780
Palit GeForce GTX 1050 StormX 2GB ,https://www.techadvisor.com/review/palit-geforce-gtx-1050-stormx-2gb-review-3652839/,https://www.techadvisor.com/cmsdata/reviews/3652839/palit-geforce-gtx-1050-stormx-review-cooler_thumb800.jpg,"Aimed squarely at 1080p gaming, the GTX 1050 is an excellent choice for difficult-to-upgrade low-end PCs and e-sports on a budget. Here's our Palit GeForce GTX 1050 StormX 2GB review","The GTX 1050 could be the perfect card for converting a low-end PC into a competent gaming machine, and this board from Palit is a strong no-frills example at a good price. However, you should consider a 1050 Ti if you can afford it.",,,
Epson Expression Premium XP-640 ,https://www.techadvisor.com/review/epson-expression-premium-xp-640-review-3652887/,https://www.techadvisor.com/cmsdata/reviews/3652887/epson_expression_premium_xp-640_review_front_thumb800.jpg,"This all-in-one printer provides good quality for text, graphics and photos but – as always – you need to watch out for the cost of replacement inks. Here's our Expression Premium XP-640 review.","The strength of the XP-640 is its five-ink printing system, which makes it a good choice for people who want to print high-quality photos on a regular basis. However, its running costs are a little higher than average, and there are more affordable options if you simply need an inexpensive printer for basic text and graphics documents.",,,$149
Honor 6X ,https://www.techadvisor.com/review/honor-6x-review-3652799/,https://www.techadvisor.com/cmsdata/reviews/3652799/honor_6x_review02_thumb800.jpg,"Honor is Huawei’s cheaper smartphone brand and doesn’t try to hide it. However the new 6X is a fine phone for just over £200, with a very similar user experience - if not performance - to others three times its price. Here is our Honor 6X review.","The Honor 6X manages to be a budget phone but not remotely feel like one. This is high praise, and while it could never hold a candle to the performance of phones three times the price, that’s not the point – the Android experience you get is still nigh-on top drawer.",,,$249
HTC U Play hands-on ,https://www.techadvisor.com/review/htc-u-play-hands-on-review-3652822/,,HTC's new phones for 2017 have a focus on AI and come with a new glass design. Take a look at the smaller and cheaper model in our HTC U Play hands-on review.,"We're still waiting on the price and to test the AI features out properly, but the new HTC U Play might appeal to some. Its glass design is eye-catching and the phone is a far more manageable size than the U Ultra. Look out for a full review soon.",,,Price TBC
Meizu MX6 ,https://www.techadvisor.com/review/meizu-mx6-review-3652897/,https://www.techadvisor.com/cmsdata/reviews/3652897/meizumx6_review07_thumb800.jpg,"The MX6 is the latest mid-range Android phone from Meizu, with a good all-round specification. We review the Meizu MX6.","The Meizu MX6 is a nicely designed phone, but compared to the Xiaomi Redmi Note 4 and Elephone S7 it is expensive and underpowered. The MX6 still has a great deal to offer at around £250, but we're not keen on Flyme OS or mTouch, and the MX6's camera isn't the best example we've seen.",,,
Garmin Fenix 5 series ,https://www.techadvisor.com/review/garmin-fenix-5-series-review-3652891/,https://www.techadvisor.com/cmsdata/reviews/3652891/garmin-fenix-11_thumb800.jpg,"Garmin's Fenix watches are a smart choice for fitness fanatics & adventurers with GPS, sports tracking and waterproofing but they don't come cheap.","Garmin's new smartwatches aren't for everyone. They'll only suit people who're serious about sports tracking or venture outdoors on hikes, ski trips or bike rides on a regular basis. It's not cheap, so we'd recommend looking elsewhere if GPS isn't essential to you. We're impressed with Garmin's new designs, though, and much prefer their look to previous models. We're looking forward to spending more time with the Fenix 5 watches to bring you our final verdict and star rating soon.",,,From $599
Elephone S7 ,https://www.techadvisor.com/review/elephone-s7-review-3652835/,https://www.techadvisor.com/cmsdata/reviews/3652835/elephone_s702_thumb800.jpg,"Here in the UK when we think of the S7 we think of Samsung's finest. Elephone's S7 has many similarities, but it's not in quite the same category. Nevertheless, it's a good-looking mid-range phone with some very decent specifications and a more affordable price tag. Read our Elephone S7 review.","The Elephone S7 is a very good-looking phone at an affordable price, with decent performance and a generous helping of storage. On the down side the cameras are disappointing and the rear panel is plastic. Even at this price you don't need to compromise so heavily.",,,$219.99
Flux Charger Plus ,https://www.techadvisor.com/review/flux-charger-plus-review-3652976/,https://www.techadvisor.com/cmsdata/reviews/3652976/flux_charger_plus_thumb800.png,"Flux power banks just keep on getting better and better. Flux has once again updated its ultra-slim portable charger, now with 2.5 times the capacity, two additional USB outputs and a new softer material. Read our Flux Charger Plus review.","Flux power banks just keep on getting better and better. A brilliantly designed portable power bank with enough juice to keep your device going several days, whatever device that may be. It is expensive though, so you’ll need to have money to burn.",,,$59.95
Lenovo Yoga Book : Hands-on,https://www.techadvisor.com/review/lenovo-yoga-book-review-hands-on-with-new-lenovo-tablet-laptop-3645747/,,"Lenovo’s new laptop / tablet is the world’s thinnest and lightest convertible and it achieves this by using a touch keyboard. You can choose between Android and Windows models, too. We went hands-on - here's our Lenovo Yoga Book review.",It's too early to come to any definitive conclusions about the Yoga Book. We'll update this review when we've had time to run our full suite of benchmarks on it.,,,
RavPower PowerStation Series 20100mAh ,https://www.techadvisor.com/review/ravpower-powerstation-series-20100mah-portable-power-outlet-review-3652996/,https://www.techadvisor.com/cmsdata/reviews/3652996/ravpower_powerstation_20100mah_2_thumb800.jpg,"Huge capacity, fast charging and recharging, and the means to power almost anything when you're away from mains power, this power bank means serious business. Check out our RavPower PowerStation Series 20100mAh Portable Power Outlet review.","It has a similar usable capacity to the similarly priced Omnicharge, yet lacks its LCD screen and is much larger and less easily portable. However, this RavPower PowerStation Series 20,100mAh Portable Power Outlet is much easier to get hold of in the UK and even comes with a UK three-pin AC outlet. Both devices are expensive at around £100, but offer insanely fast charging (and recharging) of almost anything you like. A fantastic buy if you can afford it.",,,$95.99
Vernee Apollo ,https://www.techadvisor.com/review/vernee-apollo-review-3653102/,https://www.techadvisor.com/cmsdata/reviews/3653102/vernee_apollo_review00_thumb800.jpg,Vernee makes a bold claim for its flagship Apollo smartphone: it's apparently the first MediaTek VR phone. But what does that really mean? Find out whether the Apollo is worth your money in our Vernee Apollo review.,"The Vernee Apollo is a MediaTek flagship, which isn't quite what we expect from Qualcomm Snapdragon flagships, but a very decent phone nonetheless. It's pretty powerful, with a nice screen, a great camera and a relatively untouched Android OS. At less than £250, you can't argue with its value.",,,$299.99
Acer Swift 7 : world's thinnest laptop,https://www.techadvisor.com/review/acer-swift-7-review-worlds-thinnest-laptop-3645941/,,Acer has made an ultra-thin laptop that’s less than a centimetre thick yet squeezed in a Core m7 processor. It's a lot like the HP Spectre but with a price that's slightly easier to swallow. Here's our Acer Swift 7 review.,"Whether the Acer Swift 7 is the right laptop for you depends on how much you care about its 10mm thickness. If you don’t mind adding a millimetre or five, you can get laptops with more power and better connectivity for the same price. Hardcore users take note.
However, if you like the look and the slim frame means a lot to you, the Swift 7 is a very solid option. A great trackpad and slim-but-decent keyboard make this a very enjoyable laptop, particularly as it can last through a day’s work of light tasks.
",,,$999
Smanos UFO smart security camera ,https://www.techadvisor.com/review/smanos-ufo-smart-security-camera-review-3653329/,https://www.techadvisor.com/cmsdata/reviews/3653329/smanos-ufo-wall_thumb800.jpg,"The unique design and claims of 360-degree coverage set the Smanos UFO apart from its counterparts when it was announced at the end of 2016, so how does it perform? Here’s our Smanos UFO smart security camera review.","The Smanos UFO may not be the sleekest smart security camera on the market, but it’s perfect for wall and ceiling attachments with its low-profile design. While there may be other cameras on the market that offer slicker app interfaces for a similar price, the ability to host your storage locally via microSD along with optional paid cloud backup (coming soon) is unique to a small handful of smart security cameras on the market. If you don’t want to pay out for monthly storage fees and want 24/7 recording capabilities on a budget, the Smanos UFO is a decent option.",,,
Honor 8 ,https://www.techadvisor.com/review/honor-8-review-3645428/,https://www.techadvisor.com/cmsdata/reviews/3645428/honor_8_review_thumb800.jpg,"The Honor 8 is a stylish phone, with a unique look, impressive specifications and a dual-camera that takes spectacular photos and videos. However, it's challenged by the slightly cheaper OnePlus 3.","The Honor 8 is a fantastic smartphone, but the price has gone up from the Honor 7. In return for the additional expense you get a fantastic dual-camera, a sleek and stylish design, a faster fingerprint sensor and a beautiful display, which combined make the Honor 8 a worthy competitor to the OnePlus 3.",,,$399
Deus Ex: Mankind Divided ,https://www.techadvisor.com/review/deus-ex-mankind-divided-review-3646115/,https://www.techadvisor.com/cmsdata/reviews/3646115/ss_b1ea76801c1d5940904ad2c3e2cad41a0ec37d75_1920x1080_thumb800.jpg,"The Deus Ex series is a long running one, that’s for sure. Set in the not too distant future, the Deus Ex series offers a kind of satirical (but very serious) look at where society could be headed if our obsession with technology continues. The latest in the series, Mankind Divided, takes place two years after the events of Human Revolution with Adam Jensen doing what he does best – getting to the truth by any means possible.","While Deus Ex: Mankind Divided has all the core mechanics to make a great game – upgrades, conspiracy theories, a solid storyline and great voice acting – it just seems to fall flat after the first few missions. The storyline, although interesting doesn’t last for nearly as long as the Human Revolution campaign, even with a sprinkling of fairly interesting and varied side missions and the button layout is just a bit too different to other first person shooters to make it a game you can just pick up and play without a serious learning curve. If you’re a fan of the series we’d still recommend playing it as the story is great, but don’t expect to be sinking hundreds of hours into the game. ",,,$59.99
Mio MiVue 618 ,https://www.techadvisor.com/review/mio-mivue-618-review-3646055/,,"Mio's latest dash cam offers 'extreme HD' recording, GPS and speed camera warnings. Here's our Mio MiVue 618 review","Overall the MiVue 618 is well designed, easy to use and has some useful features, especially the speed camera warnings. Image quality isn't the best, but unless you plan to use the footage for home movies, it doesn't really matter: you can see the detail that's important if you're involved in a collision.",,,
Huawei P9 Plus  | Huawei's 2016 flagship phablet,https://www.techadvisor.com/review/huawei-p9-plus-review-uk-design-camera-features-benchmark-3637808/,,Can Huawei take on the Galaxy S7 edge and iPhone 6S Plus? With the help of Leica it hopes the Huawei P9 Plus can do the job and here's our review of the 2016 flagship phone.,,,,
Apple Watch : now superseded by Series 1,https://www.techadvisor.com/review/apple-watch-review-iwatch-design-features-apps-watchos-3-straps-3607916/,,"It's not without its flaws, but the Apple Watch is beautifully designed and has some great features for iPhone owners. Is it the right smartwatch for you? Find out in our Apple Watch review.","We can't help but think that Apple has tried to do too much with this first generation Apple Watch. There are so many ways of interacting with it and so many different features and elements to get used to that the learning curve is surprisingly steep. It takes a lot of getting used to, and at times it feels counter-intuitive, something we're not use to with Apple devices.",,,$269
iPhone 7 vs 7 Plus comparison,https://www.techadvisor.com/review/iphone-7-vs-7-plus-comparison-3646162/,,The new iPhones are here. We explain their differences so you can choose which is best for you.,"The iPhone 7 and 7 Plus are evolutions of the previous two generations. They add waterproofing, new colour options, a brighter screen, better cameras and a faster processor. The removal of the headphone jack is a brave move, but a Lightning adaptor is included in the box. Which one is best? That will depend on your budget and whether you prefer a smaller or larger phone.",,,32GB $569 | 128GB $669
